企业代号,开票日期,发票号码,金额,税额,价税合计
E1,2017-07-18,13563762,0.0,0.0,0.0
E1,2017-08-07,9902669,326.21,9.79,336.0
E1,2017-08-08,40826107,170.94,29.06,200.0
E1,2017-08-09,8841063,42452.83,2547.17,45000.0
E1,2017-08-11,15040454,46153.85,7846.15,54000.0
E1,2017-08-14,40829320,162.39,27.61,190.0
E1,2017-08-16,2032326,4614.12,276.84,4890.96
E1,2017-08-21,14678366,13846.15,2353.85,16200.0
E1,2017-08-23,14100430,20388.35,611.65,21000.0
E1,2017-08-24,27547884,1689.2199999999998,86.78,1776.0
E1,2017-08-25,10769077,969.9,29.1,999.0
E1,2017-08-27,33771570,1085.83,51.17,1137.0
E1,2017-08-28,53537967,1837.81,69.19,1907.0
E1,2017-08-29,96063776,149454615.24,25407256.759999998,174861872.0
E1,2017-08-30,186042815,88797716.11,15095580.89,103893297.0
E1,2017-09-01,1056016,182.52,5.48,188.0
E1,2017-09-05,5432505,281.13,16.87,298.0
E1,2017-09-06,14470262,442.72,13.28,456.0
E1,2017-09-07,24209414,2899.09,159.21,3058.3
E1,2017-09-08,32930670,46975.14,7880.86,54856.0
E1,2017-09-09,14470310,221.36,6.64,228.0
E1,2017-09-10,46609674,4899.05,293.95,5193.0
E1,2017-09-11,20334312,4690.85,789.15,5480.0
E1,2017-09-12,99499132,5107.73,390.27,5498.0
E1,2017-09-13,31334412,508.74,15.259999999999998,524.0
E1,2017-09-14,28636681,495.14,14.86,510.0
E1,2017-09-15,5466315,216.98,13.02,230.0
E1,2017-09-16,13899185,173.79,5.21,179.0
E1,2017-09-17,26488533,619.16,76.44,695.6
E1,2017-09-18,23617986,697.75,73.75,771.5
E1,2017-09-20,60914858,406.86,36.14,443.0
E1,2017-09-21,17449748,203.88,6.12,210.0
E1,2017-09-22,52237287,6156.38,701.62,6858.0
E1,2017-09-24,9915232,20406.8,12.2,20419.0
E1,2017-09-25,31928270,342675.21,58254.78999999999,400930.0
E1,2017-09-27,48054347,32820.88,2221.12,35042.0
E1,2017-09-28,235465220,115558561.58999999,19636658.410000004,135195220.0
E1,2017-09-29,3610724,129348261.61999999,21989204.380000003,151337466.0
E1,2017-09-30,53006763,8367841.069999999,1414214.9299999997,9782056.0
E1,2017-10-02,331230,334.91,20.09,355.0
E1,2017-10-04,331235,306.6,18.4,325.0
E1,2017-10-07,9248090,6205.02,569.88,6774.9
E1,2017-10-08,1227554,1500.53,165.07,1665.6
E1,2017-10-11,82724826,1408.74,42.26,1451.0
E1,2017-10-12,50589619,1582.9299999999998,70.07,1653.0
E1,2017-10-13,17862838,442.72,13.28,456.0
E1,2017-10-14,5840546,4716.98,283.02,5000.0
E1,2017-10-16,1612169,7863.25,1336.75,9200.0
E1,2017-10-17,24237939,104034.63999999998,6286.359999999999,110321.0
E1,2017-10-18,35878437,4557.5,735.5,5293.0
E1,2017-10-19,50276077,1567.3899999999999,200.61,1768.0
E1,2017-10-20,654397,1472.83,88.37,1561.2
E1,2017-10-24,7703111,4230.77,719.23,4950.0
E1,2017-10-25,33289217,674.75,20.25,695.0
E1,2017-10-26,28388335,93294871.78,15860128.22,109155000.0
E1,2017-10-27,56249967,76994810.53999999,13089000.459999999,90083811.0
E1,2017-10-30,60490589,82544.18999999999,4935.810000000001,87480.0
E1,2017-11-01,14581084,42975.479999999996,2578.52,45554.0
E1,2017-11-02,23214250,170.94,29.06,200.0
E1,2017-11-03,37148674,106484.98,6373.02,112858.0
E1,2017-11-07,42138343,5115.669999999999,194.32999999999998,5310.0
E1,2017-11-08,28105035,287.38,8.62,296.0
E1,2017-11-09,13946485,1030.19,61.81,1092.0
E1,2017-11-10,43483374,1206492.05,205012.85,1411504.9
E1,2017-11-11,26104816,188.68,11.32,200.0
E1,2017-11-12,20552470,196.58,33.42,230.0
E1,2017-11-13,29530689,3888.03,660.97,4549.0
E1,2017-11-14,24177657,541.03,91.97,633.0
E1,2017-11-15,2917357,33027.94,1981.67,35009.61
E1,2017-11-18,18532708,9149.76,1271.24,10421.0
E1,2017-11-19,68168379,1253.8899999999999,55.11,1309.0
E1,2017-11-21,58112316,3305.98,562.02,3868.0
E1,2017-11-23,47127645,1427.18,42.82,1470.0
E1,2017-11-26,26770240,299.15,50.85,350.0
E1,2017-11-27,25902455,282.05,47.95,330.0
E1,2017-11-28,66776240,176874362.84,30068543.16,206942906.0
E1,2017-11-29,25548948,-39900553.86999999,-6783094.129999999,-46683648.0
E1,2017-11-30,135628448,119780914.88999997,20358889.11,140139804.0
